時間,設備,值
2024-10-26 09:40:35,SA-45/TEMPERATURE,25.17
2024-10-26 09:40:35,SA-45/LINE_LEVEL,1
2024-10-26 09:40:35,SA-45/LED_LEVEL,4
2024-10-26 09:40:48,SA-45/LED_LEVEL,5
2024-10-26 09:40:49,SA-45/LED_LEVEL,6
2024-10-26 09:40:49,SA-45/LED_LEVEL,7
2024-10-26 09:40:50,SA-45/LED_LEVEL,8
2024-10-26 09:40:51,SA-45/LED_LEVEL,7
2024-10-26 09:40:52,SA-45/LED_LEVEL,6
2024-10-26 09:40:52,SA-45/LED_LEVEL,5
2024-10-26 09:41:23,SA-45/TEMPERATURE,25.64
2024-10-26 09:41:25,SA-45/TEMPERATURE,25.17
2024-10-26 09:41:53,SA-45/TEMPERATURE,25.64
2024-10-26 09:41:55,SA-45/TEMPERATURE,25.17
2024-10-26 09:42:21,SA-45/TEMPERATURE,25.64
2024-10-26 09:42:23,SA-45/TEMPERATURE,25.17
2024-10-26 09:42:49,SA-45/TEMPERATURE,25.64
2024-10-26 09:42:51,SA-45/TEMPERATURE,25.17
2024-10-26 09:42:59,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:01,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:05,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:07,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:09,SA-45/TEMPERATURE,26.11
2024-10-26 09:43:11,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:17,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:19,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:25,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:27,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:35,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:39,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:41,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:43,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:49,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:51,SA-45/TEMPERATURE,25.17
2024-10-26 09:43:55,SA-45/TEMPERATURE,25.64
2024-10-26 09:43:59,SA-45/TEMPERATURE,25.17
2024-10-26 09:44:15,SA-45/TEMPERATURE,25.64
2024-10-26 09:44:17,SA-45/TEMPERATURE,25.17
2024-10-26 09:44:21,SA-45/TEMPERATURE,25.64
2024-10-26 09:44:25,SA-45/TEMPERATURE,25.17
2024-10-26 09:44:47,SA-45/TEMPERATURE,25.64
2024-10-26 09:44:49,SA-45/TEMPERATURE,25.17
2024-10-26 09:44:51,SA-45/TEMPERATURE,25.64
2024-10-26 09:44:53,SA-45/TEMPERATURE,25.17
2024-10-26 09:44:55,SA-45/TEMPERATURE,26.11
2024-10-26 09:44:57,SA-45/TEMPERATURE,25.17
2024-10-26 09:45:01,SA-45/TEMPERATURE,25.64
2024-10-26 09:45:03,SA-45/TEMPERATURE,25.17
2024-10-26 09:45:09,SA-45/TEMPERATURE,25.64
2024-10-26 09:45:11,SA-45/TEMPERATURE,25.17
2024-10-26 09:45:17,SA-45/TEMPERATURE,25.64
2024-10-26 09:45:19,SA-45/TEMPERATURE,25.17
2024-10-26 09:45:27,SA-45/TEMPERATURE,25.64
2024-10-26 09:45:29,SA-45/TEMPERATURE,25.17
2024-10-26 09:45:51,SA-45/TEMPERATURE,25.64
2024-10-26 09:45:53,SA-45/TEMPERATURE,25.17
2024-10-26 09:46:07,SA-45/TEMPERATURE,25.64
2024-10-26 09:46:09,SA-45/TEMPERATURE,25.17
2024-10-26 09:46:13,SA-45/TEMPERATURE,25.64
2024-10-26 09:46:15,SA-45/TEMPERATURE,25.17
2024-10-26 09:46:33,SA-45/TEMPERATURE,25.64
2024-10-26 09:46:37,SA-45/TEMPERATURE,25.17
2024-10-26 09:46:39,SA-45/TEMPERATURE,25.64
2024-10-26 09:46:41,SA-45/TEMPERATURE,25.17
2024-10-26 09:46:43,SA-45/TEMPERATURE,25.64
2024-10-26 09:46:45,SA-45/TEMPERATURE,25.17
